MLPC,,,,,SVM,,,
Time (ms),Used memory (MB),Precision (evaluate(predictions)),Error (1.0 – accuracy),,Time (ms),Used memory (MB),Precision (evaluate(predictions)),Error (1.0 – accuracy)
14766,424,0.841463415,0.158536585,,13709,472,0.840773593,0.159226407
13003,500,0.816591145,0.163408855,,15403,480,0.842736658,0.157263342
14789,400,0.851293275,0.163408855,,14506,490,0.841293275,0.935408855
15000,410,0.851293275,0.113408855,,14569,500,0.840466642,0.165408855
14566,470,0.814046664,0.114088553,,14766,510,0.836591145,0.103408855
14567,499,0.884046664,0.154088553,,13003,512,0.836591145,0.935408855
15403,456,0.984046664,0.665408855,,22316,534,0.840466642,0.165408855
14506,564,0.684046664,0.265408855,,11104,567,0.826591145,0.103408855
14569,645,0.684046664,0.293006725,,14502,587,0.816591145,0.113408855
14987,456,0.841293275,0.158706725,,34110,490,0.851293275,0.114088553
14345,456,0.840466642,0.159533358,,32120,489,0.789566642,0.154088553
15000,765,0.836591145,0.163408855,,10281,453,0.841293275,0.113408855
14789,456,0.826591145,0.113408855,,10181,424,0.840466642,0.139808855
14234,674,0.816591145,0.139808855,,14789,445,0.836591145,0.554088553
14980,456,0.784046664,0.554088553,,15000,543,0.826591145,0.158706725
14340,453,0.884046664,0.158706725,,14566,423,0.841293275,0.158706725
14567,432,0.884046664,0.165408855,,14567,456,0.840466642,0.159533358
14309,456,0.684046664,0.103408855,,15403,432,0.836591145,0.163408855
14895,486,0.684046664,0.158706725,,14506,412,0.836591145,0.935408855
14567,457,0.841293275,0.139808855,,14569,434,0.840466642,0.165408855
15403,432,0.836591145,0.554088553,,10512,400,0.826591145,0.103408855
14506,489,0.840466642,0.665408855,,10512,480,0.816591145,0.140208855
14569,490,0.826591145,0.265408855,,10289,489,0.851293275,0.139808855
14766,467,0.841293275,0.293006725,,10182,478,0.851293275,0.554088553
13003,490,0.840466642,0.158706725,,10485,490,0.834046664,0.154088553
14789,465,0.816591145,0.139808855,,10481,487,0.841293275,0.665408855
13003,456,0.784046664,0.554088553,,10512,476,0.840466642,0.935408855
14789,487,0.884046664,0.158706725,,10511,456,0.836591145,0.165408855
15000,490,0.884046664,0.158706725,,14980,412,0.836591145,0.103408855
14566,500,0.723046664,0.159533358,,14340,434,0.784046664,0.554088553
14789,564,0.840466642,0.163408855,,14567,433,0.884046664,0.158706725
